date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:54	6052/6052	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:56%20GMT	http://babele.net46.net/fotogallerysponsalia.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/fotogallerysponsalia.html	(from http://babele.net46.net/spettacoli.htm)
15:11:55	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:11:57%20GMT	http://babele.net46.net/schede%20tecniche/sponsalia%20scheda.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/schede%20tecniche/sponsalia%20scheda.15.delayed	(from http://babele.net46.net/spettacoli.htm)
15:11:55	889/889	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Mar%202015%2014:11:57%20GMT	http://babele.net46.net/locandina%20mantova.htm	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/locandina%20mantova.html	(from http://babele.net46.net/calendario.htm)
15:11:56	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:11:58%20GMT	http://babele.net46.net/foto/DSCN0041ridotta.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/DSCN0041ridotta.17.delayed	(from http://babele.net46.net/fotogallery.htm)
15:11:56	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:11:59%20GMT	http://babele.net46.net/foto/marco%20giac%20babele%20duo.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/marco%20giac%20babele%20duo.19.delayed	(from http://babele.net46.net/fotogallery.htm)
15:11:57	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:11:59%20GMT	http://babele.net46.net/foto/foto-21.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/foto-21.1b.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:02	41382/41382	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:57%20GMT	http://babele.net46.net/foto/DSCN0041ridottapics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/DSCN0041ridottapics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:02	33740/33740	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:59%20GMT	http://babele.net46.net/foto/marco%20giac%20babele%20duopics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/marco%20giac%20babele%20duopics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:02	31029/31029	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:01%20GMT	http://babele.net46.net/foto/foto-21pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/foto-21pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:02	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:04%20GMT	http://babele.net46.net/foto/foto-11.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/foto-11.1d.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:03	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:05%20GMT	http://babele.net46.net/foto/babele-4.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-4.1f.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:04	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:06%20GMT	http://babele.net46.net/foto/babele-3.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-3.21.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:07	32344/32344	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:04%20GMT	http://babele.net46.net/foto/foto-11pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/foto-11pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:07	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:09%20GMT	http://babele.net46.net/foto/babele-2.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-2.23.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:08	31803/31803	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:06%20GMT	http://babele.net46.net/foto/babele-4pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-4pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:09	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:11%20GMT	http://babele.net46.net/foto/003.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/003.25.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:09	29880/29880	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:08%20GMT	http://babele.net46.net/foto/babele-3pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-3pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:10	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:12%20GMT	http://babele.net46.net/foto/004.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/004.27.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:10	5720/5720	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:11%20GMT	http://babele.net46.net/foto/003pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/003pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:10	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:13%20GMT	http://babele.net46.net/foto/013.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/013.29.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:11	6656/6656	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:13%20GMT	http://babele.net46.net/foto/004pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/004pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:12	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:14%20GMT	http://babele.net46.net/foto/050.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/050.2b.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:12	6246/6246	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:14%20GMT	http://babele.net46.net/foto/013pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/013pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:12	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:14%20GMT	http://babele.net46.net/foto/babele23.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele23.2d.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:12	39240/39240	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:10%20GMT	http://babele.net46.net/foto/babele-2pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele-2pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:13	3841/3841	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:15%20GMT	http://babele.net46.net/foto/050pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/050pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:13	186786/186786	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:44%20GMT	http://babele.net46.net/foto/babele22per%20curriculum.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele22per%20curriculum.jpg	(from http://babele.net46.net/curriculum.htm)
15:12:13	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:15%20GMT	http://babele.net46.net/foto/babele16.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele16.2f.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:14	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:16%20GMT	http://babele.net46.net/foto/babele18modificato.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele18modificato.31.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:14	29201/29201	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:17%20GMT	http://babele.net46.net/foto/babele23pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele23pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:15	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:17%20GMT	http://babele.net46.net/foto/trento.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/trento.33.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:15	22063/22063	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:19%20GMT	http://babele.net46.net/foto/babele16pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele16pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:15	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:17%20GMT	http://babele.net46.net/foto/babele13.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele13.35.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:16	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:18%20GMT	http://babele.net46.net/foto/babele22.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele22.37.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:20	33231/33231	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:24%20GMT	http://babele.net46.net/foto/trentopics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/trentopics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:20	46561/46561	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:22%20GMT	http://babele.net46.net/foto/babele18modificatopics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele18modificatopics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:20	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:22%20GMT	http://babele.net46.net/foto/trento2.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/trento2.39.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:20	33310/33310	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:26%20GMT	http://babele.net46.net/foto/babele13pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele13pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:21	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:23%20GMT	http://babele.net46.net/foto/babele24.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele24.3b.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:22	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:24%20GMT	http://babele.net46.net/foto/babele25.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele25.3d.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:22	44374/44374	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:29%20GMT	http://babele.net46.net/foto/babele22pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele22pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:22	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:25%20GMT	http://babele.net46.net/foto/babele3.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele3.3f.delayed	(from http://babele.net46.net/fotogallery.htm)
15:12:26	30494/30494	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:33%20GMT	http://babele.net46.net/foto/babele24pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele24pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:26	40089/40089	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:31%20GMT	http://babele.net46.net/foto/trento2pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/trento2pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:26	24083/24083	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:35%20GMT	http://babele.net46.net/foto/babele25pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele25pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:26	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:28%20GMT	http://babele.net46.net/foto/STRUMENTI/GADULKA%20MARCO.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/GADULKA%20MARCO.41.delayed	(from http://babele.net46.net/curiosita.htm)
15:12:27	37895/37895	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:28:37%20GMT	http://babele.net46.net/foto/babele3pics.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/babele3pics.jpg	(from http://babele.net46.net/fotogallery.htm)
15:12:27	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:29%20GMT	http://babele.net46.net/foto/STRUMENTI/MANDOLINO%20MARCO.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/MANDOLINO%20MARCO.43.delayed	(from http://babele.net46.net/curiosita.htm)
15:12:27	16830/16830	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:18%20GMT	http://babele.net46.net/foto/STRUMENTI/GADULKA%20MARCO_PIC.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/GADULKA%20MARCO_PIC.jpg	(from http://babele.net46.net/curiosita.htm)
15:12:28	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:30%20GMT	http://babele.net46.net/foto/STRUMENTI/VIELLA%20MARCO.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/VIELLA%20MARCO.45.delayed	(from http://babele.net46.net/curiosita.htm)
15:12:28	15269/15269	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:19%20GMT	http://babele.net46.net/foto/STRUMENTI/MANDOLINO%20MARCO_PIC.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/MANDOLINO%20MARCO_PIC.jpg	(from http://babele.net46.net/curiosita.htm)
15:12:29	216/216	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Mar%202015%2014:12:31%20GMT	http://babele.net46.net/foto/STRUMENTI/UD%20RIC.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/UD%20RIC.47.delayed	(from http://babele.net46.net/curiosita.htm)
15:12:29	15704/15704	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:21%20GMT	http://babele.net46.net/foto/STRUMENTI/VIELLA%20MARCO_PIC.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/VIELLA%20MARCO_PIC.jpg	(from http://babele.net46.net/curiosita.htm)
15:12:29	17066/17066	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Nov%202012%2023:27:23%20GMT	http://babele.net46.net/foto/STRUMENTI/UD%20RIC_PIC.jpg	D:/Users/Marco/Pictures/SITI%20WEB/BABELE.ORG/babele.net46.net/foto/STRUMENTI/UD%20RIC_PIC.jpg	(from http://babele.net46.net/curiosita.htm)
